Sun 1.989e30 0.0 0.0
Mercury 3.3022e23 -57909100 -47.87
Venus 4.8685e24 108208930 35.02
Earth 5.9736e24 -149598261 -29.78
Mars 6.4185e23 227939100 24.077
Jupiter 1.8986e27 -778547200 -13.07
Saturn 5.6846e26 1433449370 9.69
Uranus 8.6810e25 -2876679082 -6.81
Neptune 1.0243e26 4503443661 5.43

