#Time [s]           |Solver     |SunX [km]    |SunY [km]    |EarthX [km]  |EarthY [km]  |
=====================================================================
                    |Ad. Euler  |-640204       | -495928      |6.35673e+010  | -1.35399e+011
                    |Runge Kutta|-640264       | -496320      |6.35872e+010  | -1.35268e+011

Time 1.07222e+007   |Truth (A.E)|-689702       | -579902      |8.00483e+010  | -1.26221e+011
                    |Euler      |-689543       | -577822      |7.99956e+010  | -1.26914e+011
                    |Ad. Euler  |-689669       | -579461      |8.00373e+010  | -1.26368e+011
                    |Runge Kutta|-689703       | -579923      |8.00488e+010  | -1.26214e+011

Time 1.1353e+007    |Truth (A.E)|-735345       | -669490      |9.5246e+010   | -1.15174e+011
                    |Euler      |-735351       | -667066      |9.5248e+010   | -1.15981e+011
                    |Ad. Euler  |-735347       | -668976      |9.52466e+010  | -1.15345e+011
                    |Runge Kutta|-735345       | -669514      |9.52459e+010  | -1.15166e+011

